run,seed,arch,no_motor,d_model,n_params,lr,weight_decay,uncertainty_weight,huber_delta,motor,rot_aug,val_traj,seen_ate,seen_tde,unseen_ate,unseen_tde
m_s42,42,causal,True,64,95974,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.4183,1.225,0.7778,4.3332
m_s2,2,causal,True,64,95974,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.4033,1.1822,0.8947,5.7206
mb_s42,42,bi,True,64,131878,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3865,1.1317,0.8955,5.3417
mb_s2,2,bi,True,64,131878,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3909,1.1747,0.919,5.6268
mb_s3,3,bi,True,64,131878,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3554,1.078,0.9713,5.8872
m_s3,3,causal,True,64,95974,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.4426,1.4248,0.9938,5.6757
mb_s1,1,bi,True,64,131878,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.4021,1.2132,1.024,5.9619
m_s1,1,causal,True,64,95974,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.4836,1.4861,1.0581,5.8822
b3_lr1.3e-4_wd3.0e-2,,causal,False,64,,0.00013,0.03,0.01,0.002,fixed,False,,0.7584,1.9951,1.2348,5.4341
b3_ext_lr6e-5,,causal,False,64,,6e-05,0.03,0.01,0.002,fixed,False,,0.7099,1.8676,1.2543,5.4737
b3_lr1.3e-4_wd1.0e-2,,causal,False,64,,0.00013,0.01,0.01,0.002,fixed,False,,0.7028,1.8722,1.2934,6.2421
b3_lr2.576e-4_wd3.0e-2,,causal,False,64,,0.0002576,0.03,0.01,0.002,fixed,False,,0.6767,1.6847,1.3193,6.7185
b3_lr5.0e-4_wd1.0e-2,,causal,False,64,,0.0005,0.01,0.01,0.002,fixed,False,,0.6275,1.8561,1.3487,7.3177
b3_ext_wd1.0e-1,,causal,False,64,,0.00013,0.1,0.01,0.002,fixed,False,,0.6561,1.8689,1.3972,7.8409
b3_lr2.576e-4_wd1.0e-2,,causal,False,64,,0.0002576,0.01,0.01,0.002,fixed,False,,0.721,1.9974,1.4012,7.1341
seed3_w0p0001,,causal,False,64,,,,,0.002,,False,,0.4311,1.4059,1.4042,7.361
b8_rot_s3,3,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,True,,0.5385,1.6414,1.4084,8.1137
b4_wd3.0e-3,,causal,False,64,,0.00013,0.003,0.01,0.002,fixed,False,,0.5045,1.4478,1.4115,6.7848
b4_wd5.0e-3,,causal,False,64,,0.00013,0.005,0.01,0.002,fixed,False,,0.579,1.5773,1.4143,6.7738
b4_wd7.0e-3,,causal,False,64,,0.00013,0.007,0.01,0.002,fixed,False,,0.6475,1.7516,1.4169,6.7679
b1_uw0.01,,causal,False,64,,,,0.01,0.002,per_flight_max,False,,0.3892,1.2411,1.4254,7.3549
b1_uw0.01_repeat,,causal,False,64,,,,0.01,0.002,per_flight_max,False,,0.3895,1.2419,1.4256,7.3565
covfix_0.01,,causal,False,64,,,,,0.002,,False,,0.3895,1.2421,1.4257,7.3576
b5_wd2.0e-3_s3,3,causal,False,64,,0.00013,0.002,0.01,0.002,fixed,False,,0.3899,1.1562,1.4415,7.6839
b4_wd2.0e-3,,causal,False,64,,0.00013,0.002,0.01,0.002,fixed,False,,0.4386,1.2401,1.4533,7.4227
b3_lr5.0e-4_wd3.0e-2,,causal,False,64,,0.0005,0.03,0.01,0.002,fixed,False,,0.5408,1.5792,1.4559,8.1214
b3_precision,,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3603,1.092,1.4589,7.5343
b2_fixedscale_uw0.01,,causal,False,64,,,,0.01,0.002,fixed,False,,0.3609,1.0937,1.4593,7.5341
b5_wd3.0e-3_s3,3,causal,False,64,,0.00013,0.003,0.01,0.002,fixed,False,,0.4523,1.2621,1.4644,7.4163
b7_bi_s2,2,bi,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3026,0.9246,1.4738,7.475
b3_lr2.576e-4_wd1.0e-3,,causal,False,64,,0.0002576,0.001,0.01,0.002,fixed,False,,0.4109,1.2131,1.4874,7.8437
seed2_w0p0001,,causal,False,64,,,,,0.002,,False,,0.3946,1.1833,1.4984,7.84
seed2_w0p01,,causal,False,64,,,,,0.002,,False,,0.3434,1.1068,1.5068,7.7347
b3_lr1.3e-4_wd1.0e-3,,causal,False,64,,0.00013,0.001,0.01,0.002,fixed,False,,0.3763,1.1103,1.5131,7.8121
b7_bi_s1,1,bi,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3759,1.0686,1.516,8.252
seed3_w0p01,,causal,False,64,,,,,0.002,,False,,0.4138,1.331,1.5213,8.0458
seed1_w0p0001,,causal,False,64,,,,,0.002,,False,,0.3956,1.2295,1.5373,7.6026
b5_wd2.0e-3_s1,1,causal,False,64,,0.00013,0.002,0.01,0.002,fixed,False,,0.3705,1.0936,1.54,8.2278
b3_lr5.0e-4_wd1.0e-3,,causal,False,64,,0.0005,0.001,0.01,0.002,fixed,False,,0.3596,1.1151,1.5459,8.0299
b6_improved_s3,3,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.402,1.2755,1.55,8.4088
b7_bi_s42,42,bi,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3808,1.1731,1.5564,8.0595
trial8_100ep,,causal,False,64,,,,,0.002,,False,,0.479,1.4269,1.5567,7.9933
b1_control_1e-4,,causal,False,64,,,,0.0001,0.002,per_flight_max,False,,0.4791,1.427,1.5572,7.996
b5_wd3.0e-3_s1,1,causal,False,64,,0.00013,0.003,0.01,0.002,fixed,False,,0.5177,1.6651,1.5633,8.4035
b8_rot_s1,1,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,True,,0.5521,1.6359,1.567,8.9497
b5_wd2.0e-3_s2,2,causal,False,64,,0.00013,0.002,0.01,0.002,fixed,False,,0.4571,1.3583,1.5716,8.4384
b8_rot_s2,2,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,True,,0.5412,1.6552,1.5785,8.5679
b5_wd3.0e-2_s2,2,causal,False,64,,0.00013,0.03,0.01,0.002,fixed,False,,0.7645,2.2184,1.579,8.0385
b7_bi_s3,3,bi,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3291,1.0152,1.5963,8.6503
seed1_w0p01,,causal,False,64,,,,,0.002,,False,,0.3643,1.134,1.6116,8.0411
b5_wd3.0e-2_s1,1,causal,False,64,,0.00013,0.03,0.01,0.002,fixed,False,,0.8254,2.3652,1.6263,7.9716
b5_wd3.0e-2_s3,3,causal,False,64,,0.00013,0.03,0.01,0.002,fixed,False,,0.7044,2.0114,1.6349,7.8836
b5_wd3.0e-3_s2,2,causal,False,64,,0.00013,0.003,0.01,0.002,fixed,False,,0.4609,1.3714,1.6481,8.6478
b6_improved_s2,2,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3535,1.1093,1.6625,8.8031
b6_improved_s1,1,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3487,1.0687,1.6651,8.9031
covfix_0.1,,causal,False,64,,,,,0.002,,False,,0.401,1.271,1.6825,8.0118
b1_uw0.1,,causal,False,64,,,,0.1,0.002,per_flight_max,False,,0.401,1.271,1.6826,8.0131
c1_s42,42,causal,False,128,169958,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.4176,1.2842,1.7638,8.6401
b8_rot_s42,42,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,True,,0.6565,1.9296,1.7671,9.6405
c2_s42,42,causal,False,128,363366,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.4788,1.5434,1.7755,9.0569
b3_ext_wd3.0e-1,,causal,False,64,,0.00013,0.3,0.01,0.002,fixed,False,,1.0227,3.1431,1.8421,10.2165
c2_s2,2,causal,False,128,363366,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3684,1.1708,1.8869,9.57
b1_uw1.0,,causal,False,64,,,,1.0,0.002,per_flight_max,False,,0.5365,1.6929,1.95,10.24
covfix_1.0,,causal,False,64,,,,,0.002,,False,,0.5351,1.6888,1.954,10.2664
b8_val_s42,42,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,clover,0.6574,2.0783,1.963,10.5674
c1_s2,2,causal,False,128,169958,0.00025757267464272164,0.001,0.01,0.002,fixed,False,,0.3843,1.2009,1.9646,10.1504
b8_val_s1,1,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,clover,0.7921,2.582,1.9649,9.7748
h_s42,42,causal,False,64,95974,0.00025757267464272164,0.001,0.01,0.05,fixed,False,,0.3594,1.1479,1.9704,9.4071
h_s2,2,causal,False,64,95974,0.00025757267464272164,0.001,0.01,0.05,fixed,False,,0.3545,1.1619,2.0997,10.3914
b8_val_s2,2,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,clover,0.5068,1.6955,2.1439,12.708
b8_val_s3,3,causal,False,64,,0.00025757267464272164,0.001,0.01,0.002,fixed,False,clover,0.5157,1.6461,2.1521,12.264
covfix_10.0,,causal,False,64,,,,,0.002,,False,,0.8857,2.7365,2.8197,14.1898
b1_uw10.0,,causal,False,64,,,,10.0,0.002,per_flight_max,False,,1.0011,3.0593,2.9634,15.2078
